Reading gatttool output from fitupchar.txt
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d400000000000000000000000000000000000000   b'\xd4\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d401000000000000000000000000000000000000   b'\xd4\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d400000000010000000000000000000000000000   b'\xd4\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d402000000000000000000000000000000000000   b'\xd4\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d400000000020000000000000000000000000000   b'\xd4\x00\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   b801010201020000020101020000020000000000   b'\xb8\x01\x01\x02\x01\x02\x00\x00\x02\x01\x01\x02\x00\x00\x02\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 b801010201020000020101020000020000000000   b'\xb8\x01\x01\x02\x01\x02\x00\x00\x02\x01\x01\x02\x00\x00\x02\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   f402020001000000000000000000000000000000   b'\xf4\x02\x02\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 f401010102000000000000000000000000000000   b'\xf4\x01\x01\x01\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d800                                       b'\xd8\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d800000000000000000000000000000000000000   b'\xd8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d800                                       b'\xd8\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d800000000000000000000000000000000000000   b'\xd8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d800                                       b'\xd8\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d800000000000000000000000000000000000000   b'\xd8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d800                                       b'\xd8\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d800000000000000000000000000000000000000   b'\xd8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d800                                       b'\xd8\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d800000000000000000000000000000000000000   b'\xd8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   a000                                       b'\xa0\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a0000000010000                             b'\xa0\x00\x00\x00\x01\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d001                                       b'\xd0\x01'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d000000000000302030000000000000000000000   b'\xd0\x00\x00\x00\x00\x00\x03\x02\x03\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d0000c0c0000030203000c000000000000000000   b'\xd0\x00\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04e0c0c0000030203000c000000000000000000   b'\xd0\x4e\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04e0c0c0000030203000c000000000000000000   b'\xd0\x4e\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04e0c0c0000030203000c000000000000000000   b'\xd0\x4e\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04d0c0c0000030203000c000000000000000000   b'\xd0\x4d\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04d0c0c0000030203000c000000000000000000   b'\xd0\x4d\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04c0c0c0000030203000c000000000000000000   b'\xd0\x4c\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d04c0c0c0000030203000c000000000000000000   b'\xd0\x4c\x0c\x0c\x00\x00\x03\x02\x03\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d000                                       b'\xd0\x00'              
write_cmd 0x11    WYP_CONF_CHAR_UUID                   ac000002                                   b'\xac\x00\x00\x02'      
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 acbd280102010000000000000000000000000000   b'\xac\xbd\x28\x01\x02\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   8201000000000000000000000000000000000000   b'\x82\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000000000000000000000000000000000000   b'\x82\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000100000000000000000000000000000000   b'\x82\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000300000000000000000000000000000000   b'\x82\x01\x00\x03\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000500000000000000000000000000000000   b'\x82\x01\x00\x05\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000600000000000000000000000000000000   b'\x82\x01\x00\x06\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000800000000000000000000000000000000   b'\x82\x01\x00\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000a00000000000000000000000000000000   b'\x82\x01\x00\x0a\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000b00000000000000000000000000000000   b'\x82\x01\x00\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000d00000000000000000000000000000000   b'\x82\x01\x00\x0d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201000f00000000000000000000000000000000   b'\x82\x01\x00\x0f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001000000000000000000000000000000000   b'\x82\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001200000000000000000000000000000000   b'\x82\x01\x00\x12\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001400000000000000000000000000000000   b'\x82\x01\x00\x14\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001500000000000000000000000000000000   b'\x82\x01\x00\x15\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001700000000000000000000000000000000   b'\x82\x01\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001909000000000000000000000000000000   b'\x82\x01\x00\x19\x09\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001a0a000000000000000000000000000000   b'\x82\x01\x00\x1a\x0a\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001c0a000000000000000000000000000000   b'\x82\x01\x00\x1c\x0a\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001e0b000000000000000000000000000000   b'\x82\x01\x00\x1e\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201001f09000000000000000000000000000000   b'\x82\x01\x00\x1f\x09\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201002109000000000000000000000000000000   b'\x82\x01\x00\x21\x09\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 8201002309000000000000000000000000000000   b'\x82\x01\x00\x23\x09\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
